Review,Sentiment,Polarity
although mobile boarding pass checked luggage still go check counter departure delayed hour food flight bad lot clunking noise galley throughout flight lot movie available organized abc difficult search ba charge lot pick seat thats unfortunate,Negative,-0.32499999999999996
booking british airway website straightforward clear option baggage seat selection meal preference online checkin opened hour prior departure mobile boarding pas easily accessible via ba app although year old clean wellmaintained though cabin show sign age compared newer fleet overhead storage ample full flight crew friendly professional efficient despite short flight time service included complimentary meal choice tea coffee waterstandard ba shorthaul business service crew maintained calm courteous demeanor throughout,Positive,0.23869047619047623
abysmal experience flight initially delayed cancelled rebooked ba onto another flight ba staff totally disorganised original boarding gate gate rebooked flight still tried ridiculous boarding group procedure even though didnt make announcement led staff telling customer wrong place wrong queue good lady customer remarked im mind reader impudent ba gate staff terminal complete shamble british airway ashamed,Negative,-0.01759259259259259
check miami quick easy american airline lounge near gate excellent flight boarded time club world upper deck aircraft old worn crew member unfortunately given fact crew number already minimum event like managed cut flight service since average best result poor experience drink service meal poorly presented low cost ingredient daughter meal pasta salad meet expectation premium level dining meal similarly uninspired crew experienced seat mine daughter work manually adjusted crew ife screen work uncommon given age cabin hot uncomfortable toilet clean well stocked breakfast board offered reasonable quality time arrival baggage quickly arrival lounge long queue shower food good unfortunately experience adequate expensive ticket expected better even cabin shadow former glory stood magazine one could read useful ife broken stuff rack front club cabin airlock bag paper towel ill flying american next time brilliant ba slipped standard north american carrier,Positive,0.10307017543859652
ba airbus premium economy section outdatedlooking personal video unfortunately halfway hour flight video system center seat premium economy section stopped working staff couldnt resolve issue got everyones name said would something sent make loss ended getting pound per person given amount one pay premium economy personal entertainment system material part experience given length flight associated outage compensation token would beware folk particularly ba flight pretty old gear little sense value passenger loss service plane roundtrip far better staff competent though warm flight time food passable leg space main value presumably cannot botch midflight say recommend ba based entire roundtrip flight caveat one could find better unfortunately worse,Positive,0.10598958333333333
check security quick efficient gallery north lounge busy clear change loyalty scheme translated less lounge footfall breakfast offering reasonable quality flight delayed minute boarding full flight well organised board usual welcome old style business class seat airborne drink snack lunch fine prawn based starter chicken main food ok nothing dreadful nothing exceptional either said accompanying wine cabin crew section ok average slept hour ife good though small screen afternoon tea ok seems british airway new take traditional british cream tea substituted clotted cream butter scone ok time arrival baggage reasonable time,Positive,0.14819347319347323
recently flew business class british airway must say seat business class standard product outdated uncomfortable absolutely worth premium price marketed club world experience felt like economy premium economy seat higher price tag seat narrow almost privacy didnt even fully recline properly cabin looked worn service inconsistent overall experience felt like ripoff ive flown true business class airline simply doesnt compare british airway stop misleading customer image promise dont match reality feel cheated price paid expected luxury tired fake version business class,Negative,-0.07500000000000001
lost bag took day find entire time customer service incompetent giving consistently incorrect information would change every call customer service representative rude helpful flight average food good seat tight,Negative,-0.004081632653061222
paid upgrade business class family disappointed airport lounge heathrow great size food pretty simple breakfast came boarding priority boarding take served meal good people premium economy coming cabin using toilet business class food flight attendant said come couple hour landing wake u disappeared hour came back landing time premium economy people business class helping drink snack service area never seen anything like wont wasting money business class british airway,Positive,0.12962962962962965
decided use point upgrade business visiting family uk say british airway business class best comfortable seating great service crew smile great food whole found experience comfortable worth point upgrade consider flying,Positive,0.4666666666666667
